Score,Corrrect,Ttoal,Precision,Recall,F1Measure
0,725,10000,0.0725,1,0.135198135
0.05,725,9500,0.076315789,1,0.14180929
0.1,725,9000,0.080555556,1,0.149100258
0.15,725,8500,0.085294118,1,0.157181572
0.2,725,8000,0.090625,1,0.166189112
0.25,725,7500,0.096666667,1,0.176291794
0.3,725,7000,0.103571429,1,0.187702266
0.35,725,6500,0.111538462,1,0.200692042
0.4,725,6000,0.120833333,1,0.215613382
0.45,725,5500,0.131818182,1,0.232931727
0.5,725,5000,0.145,1,0.253275109
0.55,725,4500,0.161111111,1,0.277511962
0.6,725,4000,0.18125,1,0.306878307
0.65,725,3500,0.207142857,1,0.343195266
0.7,725,3000,0.241666667,1,0.389261745
0.75,725,2500,0.29,1,0.449612403
0.775,718,2250,0.319111111,0.990344828,0.482689076
0.8,705,2000,0.3525,0.972413793,0.517431193
0.825,693,1750,0.396,0.955862069,0.56
0.85,655,1500,0.436666667,0.903448276,0.588764045
0.875,639,1250,0.5112,0.88137931,0.647088608
0.9,620,1000,0.62,0.855172414,0.71884058
0.925,568,750,0.757333333,0.783448276,0.770169491
0.95,495,500,0.99,0.682758621,0.808163266
